sample_id,fastq_1,fastq_2,condition,batch
SRR22476697,fastq_downsampled/SRR22476697_1.fastq.gz,fastq_downsampled/SRR22476697_2.fastq.gz,SLE,batch1
SRR22476698,fastq_downsampled/SRR22476698_1.fastq.gz,fastq_downsampled/SRR22476698_2.fastq.gz,SLE,batch1
SRR22476700,fastq_downsampled/SRR22476700_1.fastq.gz,fastq_downsampled/SRR22476700_2.fastq.gz,SLE,batch1
SRR22476701,fastq_downsampled/SRR22476701_1.fastq.gz,fastq_downsampled/SRR22476701_2.fastq.gz,Control,batch1
SRR22476705,fastq_downsampled/SRR22476705_1.fastq.gz,fastq_downsampled/SRR22476705_2.fastq.gz,Control,batch1
